"Table 5.1  Age-Adjusted Incidence Rates (1) by County, Florida, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Cancers,,,,,,,Lung & Bronchus,,,,,,,Prostate,,,,,,,Breast,,,,,,Colorectal,,,,,,,,Bladder,,,,,Head & Neck,,,,,,,Non-Hodgkin,,,,,Melanoma,,,,,,,Ovary,,,,,Cervix,,,,,
,Rate,CI,,,,,,Rate,,CI,,,,,Rate,CI,,,,,,Rate,,,CI,,,Rate,,,CI,,,,,Rate,CI,,,,Rate,,,CI,,,,Rate,,CI,,,Rate,,CI,,,,,Rate,CI,,,,Rate,,CI,,,
Florida,474.4,472.0,,476.9,,,,50.6,,49.9,,,51.4,,110.2,108.6,,,111.8,,,130.3,,,128.5,132.2,,37.2,,,36.5,,37.9,,,17.8,17.3,18.2,,,18.1,,,17.7,,18.6,,21.9,,21.4,22.5,,33.2,,32.5,,,33.9,,11.0,10.5,,11.6,,10.2,,9.6,,10.8,
Alachua,461.6,437.6,,486.7,,,,47.9,,40.7,,,56.2,,127.3,110.1,,,146.9,,,131.1,,,113.2,151.5,,32.5,,,26.4,,39.8,,,17.1,12.9,22.5,,,18.1,,,13.6,,23.8,,17.4,,13.0,23.0,,38.1,,30.5,,,47.6,,7.0,3.5,,13.2,,8.6,,4.3,,15.8,
Baker,612.5,528.1,,708.0,,,,95.3,,64.6,,,137.6,,74.2,37.5,,,137.8,,,150.5,,,94.7,231.2,,32.2,,,15.9,,60.9,,,^,^,^,,,29.7,,,14.1,,57.8,,^,,^,^,,55.9,,31.6,,,94.8,,^,^,,^,,^,,^,,^,
Bay,491.3,463.3,,520.8,,,,57.3,,48.5,,,67.6,,105.3,88.0,,,125.7,,,137.6,,,116.9,161.6,,44.3,,,36.3,,53.9,,,18.6,13.6,25.3,,,17.1,,,12.3,,23.5,,16.1,,11.2,22.8,,37.0,,28.8,,,47.3,,17.7,10.8,,28.3,,12.8,,6.6,,23.0,
Bradford,478.2,408.6,,559.0,,,,58.1,,36.6,,,91.9,,116.5,72.3,,,185.1,,,110.4,,,63.6,186.9,,32.7,,,16.6,,62.0,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Brevard,480.2,465.9,,495.0,,,,49.7,,45.7,,,54.2,,93.4,85.4,,,102.3,,,125.2,,,114.5,136.9,,35.7,,,31.7,,40.2,,,18.8,16.3,21.7,,,21.3,,,18.4,,24.7,,25.2,,22.0,28.9,,54.9,,49.6,,,60.9,,11.1,8.1,,15.2,,10.6,,7.1,,15.4,
Broward,427.2,419.1,,435.4,,,,41.1,,38.8,,,43.6,,96.5,91.3,,,102.1,,,127.0,,,120.7,133.5,,38.2,,,35.8,,40.8,,,15.2,13.7,16.8,,,15.2,,,13.7,,16.8,,18.9,,17.3,20.8,,22.4,,20.2,,,24.9,,11.0,9.2,,13.0,,9.3,,7.5,,11.3,
Calhoun,386.5,299.8,,496.3,,,,54.4,,27.0,,,107.4,,^,^,,,^,,,^,,,^,^,,74.7,,,37.7,,139.0,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Charlotte,527.6,501.2,,556.1,,,,50.3,,44.2,,,58.6,,88.8,77.4,,,104.4,,,119.5,,,100.5,143.4,,45.7,,,37.5,,56.3,,,21.6,17.4,28.3,,,19.3,,,14.5,,26.6,,30.5,,24.2,39.1,,45.7,,38.0,,,56.1,,13.3,8.6,,23.9,,13.1,,5.6,,27.7,
Citrus,589.3,558.1,,622.7,,,,73.9,,64.3,,,85.7,,116.3,101.2,,,135.6,,,146.5,,,123.6,174.4,,35.4,,,27.7,,45.6,,,23.5,19.0,30.4,,,24.3,,,18.6,,32.5,,25.6,,19.8,33.8,,35.4,,28.1,,,45.6,,14.9,7.2,,29.4,,21.6,,11.0,,39.3,
Clay,514.2,487.7,,541.9,,,,66.7,,57.7,,,76.9,,73.0,59.7,,,89.1,,,147.6,,,128.2,169.7,,37.2,,,30.2,,45.7,,,21.6,16.6,28.0,,,16.6,,,12.5,,22.1,,23.9,,18.5,30.8,,34.9,,27.5,,,44.2,,11.2,6.1,,19.5,,9.0,,4.2,,17.2,
Collier,433.2,416.3,,450.9,,,,31.6,,28.1,,,35.9,,113.4,103.1,,,125.1,,,119.2,,,105.9,134.2,,31.9,,,27.0,,37.6,,,16.5,13.9,19.8,,,14.7,,,11.8,,18.5,,22.4,,18.7,27.0,,44.8,,39.3,,,51.3,,8.3,5.0,,13.8,,10.0,,5.6,,16.9,
Columbia,496.8,452.2,,545.4,,,,64.7,,50.0,,,83.5,,97.9,73.2,,,130.4,,,135.6,,,103.0,177.4,,38.6,,,26.6,,54.9,,,21.0,13.4,32.9,,,32.2,,,22.0,,46.8,,21.4,,12.5,35.0,,31.2,,19.4,,,49.0,,^,^,,^,,^,,^,,^,
Desoto,394.4,340.9,,456.9,,,,78.3,,56.8,,,109.3,,100.1,68.0,,,151.8,,,105.6,,,64.2,171.0,,44.3,,,27.0,,72.3,,,^,^,^,,,25.0,,,12.9,,48.2,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Dixie,433.1,356.5,,527.7,,,,86.0,,55.3,,,136.6,,96.8,56.3,,,176.9,,,105.4,,,49.2,214.7,,36.3,,,17.0,,78.1,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
