Population (Age 50 and over) for Florida by County
"All Races (includes Hispanic/Latino), Both Sexes, 2020-2024"
Sorted by Value

County,FIPS,Percent,People (Age 50 And Over),Rank within US (of 3143 counties)
"United States",00000,36.1,120764820,"N/A"
"Florida",12000,41.1,9212132,"6 of 52"
"Alachua County",12001,29.9,85502,"2,948"
"Leon County",12073,29.9,88876,"2,948"
"Hendry County",12051,30.9,13084,"2,891"
"Orange County",12095,30.9,454343,"2,891"
"Osceola County",12097,31.0,132296,"2,880"
"Baker County",12003,33.6,9561,"2,678"
"Duval County",12031,33.6,344166,"2,678"
"Hillsborough County",12057,33.6,511074,"2,678"
"Hardee County",12049,33.7,8640,"2,671"
"Okaloosa County",12091,34.9,75575,"2,528"
"Liberty County",12077,35.1,2700,"2,507"
"Seminole County",12117,35.8,172602,"2,408"
"Union County",12125,36.2,5681,"2,344"
"Escambia County",12033,36.6,119355,"2,281"
"Bradford County",12007,37.1,10351,"2,183"
"Polk County",12105,37.2,294012,"2,161"
"Santa Rosa County",12113,37.2,73912,"2,161"
"Wakulla County",12129,37.2,13164,"2,161"
"Miami-Dade County",12086,37.3,1021656,"2,146"
"Clay County",12019,37.5,85343,"2,115"
"Broward County",12011,38.4,759890,"1,928"
"Bay County",12005,39.2,73075,"1,737"
"Calhoun County",12013,39.2,5295,"1,737"
"Hamilton County",12047,39.2,5340,"1,737"
"Washington County",12133,39.3,10038,"1,716"
"Lafayette County",12067,39.4,3213,"1,693"
"Columbia County",12023,39.6,28398,"1,649"
"Jackson County",12063,39.8,19205,"1,599"
"Okeechobee County",12093,39.9,16305,"1,582"
"Gadsden County",12039,40.6,17742,"1,431"
"Taylor County",12123,41.1,8828,"1,306"
"Pasco County",12101,41.8,255731,"1,160"
"Suwannee County",12121,41.9,18976,"1,138"
"DeSoto County",12027,42.0,14859,"1,115"
"Gilchrist County",12041,42.0,7990,"1,115"
"St. Johns County",12109,42.0,128771,"1,115"
"Holmes County",12059,42.1,8210,"1,096"
"Walton County",12131,42.2,34978,"1,072"
"Madison County",12079,44.2,7990,"726"
"Putnam County",12107,44.3,33280,"719"
"Palm Beach County",12099,44.5,682875,"681"
"St. Lucie County",12111,44.5,160473,"681"
"Nassau County",12089,46.1,45158,"515"
"Dixie County",12029,46.2,7885,"494"
"Glades County",12043,46.2,5807,"494"
"Gulf County",12045,46.2,6988,"494"
"Lake County",12069,46.2,190773,"494"
"Levy County",12075,46.4,21080,"478"
"Volusia County",12127,46.5,269705,"468"
"Brevard County",12009,46.6,294583,"455"
"Hernando County",12053,47.2,97622,"396"
"Jefferson County",12065,47.7,7191,"363"
"Marion County",12083,48.0,192109,"342"
"Monroe County",12087,48.8,39971,"286"
"Pinellas County",12103,48.9,471378,"279"
"Lee County",12071,49.0,400251,"274"
"Manatee County",12081,49.5,212915,"241"
"Franklin County",12037,50.1,6291,"217"
"Collier County",12021,53.6,213578,"98"
"Flagler County",12035,53.6,67860,"98"
"Martin County",12085,53.8,87201,"95"
"Highlands County",12055,54.4,57453,"82"
"Indian River County",12061,55.9,93388,"63"
"Citrus County",12017,58.2,94619,"34"
"Sarasota County",12115,58.7,269579,"26"
"Charlotte County",12015,63.3,127206,"8"
"Sumter County",12119,75.4,108186,"2"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 6/23/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Age 50 and over), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
