name,population
Florida,22416077
32003,29766
32008,5840
32009,4045
32011,15421
32013,216
32024,20670
32025,22948
32026,3311
32033,4556
32034,41029
32038,10007
32040,8978
32043,34562
32044,2594
32046,10593
32052,7441
32053,4000
32054,12581
32055,17559
32058,4655
32059,3052
32060,22467
32061,101
32062,2942
32063,14611
32064,7758
32065,41578
32066,6892
32068,58983
32071,4186
32072,43
32073,43561
32079,419
32080,20894
32081,29784
32082,29289
32083,2561
32084,37291
32086,34855
32087,4608
32091,14719
32092,53071
32094,3464
32095,21399
32096,3663
32097,26700
32102,2371
32110,10018
32112,8214
32113,5954
32114,37747
32117,30955
32118,18383
32119,22348
32124,11409
32127,29612
32128,22244
32129,23195
32130,5620
32131,5078
32132,7868
32133,483
32134,7442
32136,8363
32137,48391
32139,981
32140,1479
32141,18726
32145,5759
32147,1353
32148,12063
32157,639
32159,32107
32162,55424
32163,28549
32164,56658
32168,31847
32169,10192
32174,54783
32176,14841
32177,25645
32179,9318
32180,4444
32181,2377
32182,30
32187,1191
32189,5593
32190,1488
32192,35
32193,1236
32195,3091
32202,6023
32203,0
32204,9151
32205,29148
32206,17105
32207,36998
32208,32699
32209,34657
32210,65729
32211,36762
32212,1939
32214,0
32216,42298
32217,20221
32218,72905
32219,14302
32220,12298
32221,32833
32222,18258
32223,26160
32224,42092
32225,55905
32226,21256
32227,3207
32228,222
32233,24633
32234,9678
32244,63592
32246,62562
32250,29072
32254,13927
32256,58192
32257,42904
32258,40408
32259,75016
32266,7168
32277,36338
32301,32017
32303,49785
32304,51673
32305,19384
32306,1770
32307,1300
32308,24406
32309,33544
32310,14888
32311,21905
32312,32216
32313,0
32317,14654
32320,3792
32321,5531
32322,3678
32323,90
32324,4783
32327,31445
32328,4409
32330,1045
32331,4585
32332,1293
32333,11449
32334,2012
32336,1414
32337,81
32340,10302
32343,3640
32344,13113
32346,2356
32347,7530
32348,12201
32350,1295
32351,16398
32352,5102
32355,243
32356,113
32358,1927
32359,1408
32360,144
32361,241
32399,0
32401,18947
32403,447
32404,42514
32405,29984
32407,16404
32408,18832
32409,11113
32410,550
32413,15453
32420,2159
32421,4035
32423,901
32424,7586
32425,13942
32426,720
32427,1030
32428,17950
32430,815
32431,4683
32432,45
32433,19746
32435,6664
32437,424
32438,4815
32439,15328
32440,8253
32442,3417
32443,2879
32444,21459
32445,2450
32446,10910
32448,8549
32449,769
32455,4370
32456,7510
32459,23522
32460,5472
32461,3757
32462,3920
32463,128
32464,3282
32465,8069
32466,5916
32501,11036
32502,4231
32503,33559
32504,22153
32505,27877
32506,34549
32507,32226
32508,5281
32509,336
32511,1272
32512,0
32514,42447
32526,44680
32530,275
32531,7314
32533,31860
32534,17104
32535,5649
32536,25599
32539,33290
32541,18855
32542,3578
32544,2256
32547,35527
32548,23774
32550,8486
32561,9321
32563,30364
32564,2676
32565,5664
32566,43883
32567,5609
32568,3324
32569,12063
32570,37197
32571,42171
32577,5678
32578,34738
32579,10506
32580,4194
32583,31828
32601,23180
32603,7419
32605,24689
32606,23022
32607,35720
32608,54566
32609,19752
32610,12
32612,9157
32615,16771
32616,123
32617,4504
32618,7057
32619,5074
32621,6368
32622,1313
32625,1322
32626,8709
32628,5090
32631,343
32634,18
32639,63
32640,10623
32641,13963
32643,11953
32648,510
32653,15150
32656,15836
32658,347
32664,367
32666,6662
32667,3944
32668,5149
32669,17704
32680,10582
32681,286
32683,184
32686,4882
32692,64
32693,12806
32694,2286
32696,15521
32697,189
32701,24592
32702,2636
32703,59269
32707,39493
32708,48965
32709,1696
32712,50583
32713,22884
32714,37905
32720,36259
32723,0
32724,45140
32725,51987
32726,24715
32730,6091
32732,5275
32735,5304
32736,12688
32738,49368
32744,3634
32746,46684
32750,26164
32751,22103
32754,12011
32757,34121
32759,3216
32763,24951
32764,2789
32765,64477
32766,16221
32767,3408
32768,0
32771,62606
32773,34032
32775,0
32776,13163
32778,25042
32779,28924
32780,40064
32784,10019
32789,27788
32792,52976
32796,20222
32798,2782
32801,17046
32803,22152
32804,21720
32805,19294
32806,26096
32807,34456
32808,60203
32809,29237
32810,36927
32811,41475
32812,34686
32814,9286
32816,12624
32817,37014
32818,59114
32819,30213
32820,10897
32821,26161
32822,67081
32824,58368
32825,63698
32826,29006
32827,19711
32828,69202
32829,20819
32830,197
32831,2527
32832,40196
32833,11389
32835,49205
32836,26106
32837,53671
32839,53242
32899,0
32901,28923
32903,13836
32904,37241
32905,24792
32907,49080
32908,16535
32909,41804
32920,10005
32922,14700
32925,1644
32926,23505
32927,29219
32931,14174
32934,18564
32935,41965
32937,27836
32940,51727
32948,7112
32949,3636
32950,4132
32951,11299
32952,21613
32953,24759
32955,41008
32958,30023
32959,13
32960,25259
32962,25522
32963,15008
32966,20686
32967,27240
32968,15912
32970,174
32976,9156
33001,250
33004,17094
33009,44502
33010,41701
33012,71017
33013,30695
33014,41598
33015,68891
33016,45551
33018,57921
33019,14293
33020,46322
33021,48464
33022,0
33023,72344
33024,76585
33025,76967
33026,31172
33027,65116
33028,28397
33029,44070
33030,37678
33031,7323
